Name,Price,Url,Img
GALAX GeForce RTX 2080 EX (1-Click OC) 8GB GDDR6 Graphics Card,"76,000৳",https://www.startech.com.bd/galax-rtx-2080-ex-1-click-oc-8g-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/galax/2080ex-oc/2080ex-oc-228x228.jpg
GALAX GeForce RTX 2080Ti SG (1-Click OC) 11GB GDDR6 Graphics Card,"108,000৳",https://www.startech.com.bd/galax-rtx-2080ti-sg-11g-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/galax/rtx-2080ti-sg-1clickoc/rtx-2080ti-sg-1clickoc-5-228x228.jpg
Gigabyte AORUS GeForce RTX 2070 XTREME 8GB GDDR6 Graphics Card,"63,000৳",https://www.startech.com.bd/gigabyte-aorus-rtx-2070-xreme-8g-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/gigabyte/rtx-2070-xtreme/2070-1-228x228.jpg
Asus ROG Strix GeForce RTX 2070 OC edition 8GB GDDR6 Graphics,"71,000৳",https://www.startech.com.bd/product/product?path=25_172&product_id=9427,https://www.startech.com.bd/image/cache/catalog/graphics-card/asus/rtx-2070-o8g/rtx2070-228x228.jpg
Asus ROG Strix GeForce RTX 2080 Ti OC edition 11GB GDDR6 Graphics Card,"148,500৳",https://www.startech.com.bd/asus-rog-strix-rtx-2080ti-oc-11g-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/asus/rtx-2080ti/rtx-2080ti-228x228.jpg
Gigabyte GeForce RTX 2080 WINDFORCE OC 8G GDDR6 Graphics Card,"74,000৳",https://www.startech.com.bd/gigabyte-geforce-rtx-2080-windforce-oc-8g-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/gigabyte/2080-windforce/2080-windforce-1-228x228.jpg
AMD Ryzen 3 2200G Quad-Core Processor With Radeon Vega 8 Graphics,"9,000৳",https://www.startech.com.bd/amd-ryzen-3-2200g-processor,https://www.startech.com.bd/image/cache/catalog/processor/amd/ryzen-2200g/ryzen-2200g-1-228x228.jpg
Intel Pentium Gold G5400 8th Gen Processor,"7,000৳",https://www.startech.com.bd/intel-pentium-gold-g5400-8th-gen-processor,https://www.startech.com.bd/image/cache/catalog/processor/Intel/g5400/g5400-228x228.jpg
AMD RYZEN 5 1400 4-Core 3.2GHz Turbo Core Speed 3.4GHz Processor,"13,500৳",https://www.startech.com.bd/amd-ryzen-5-1400,https://www.startech.com.bd/image/cache/catalog/Component/processor/AMD RYZEN 5 1400 4-Core 3.2GHz Turbo Core Speed 3.4GHz Processor-1-228x228.jpg
Intel 7th Generation Pentium Processor G4560,"7,800৳",https://www.startech.com.bd/intel-7th-gen-pentium-processor-g4560,https://www.startech.com.bd/image/cache/catalog/processor/Intel/7th Gen/Intel 7th Generation Pentium Processor G4560-228x228.jpg
